mdb_source_id,data_type,location.country_code,location.subdivision_name,location.municipality,provider,name,urls.direct_download,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on
1179,gtfs,CA,Québec,,Agence métropolitaine de transport,Express,https://transitfeeds.com/p/agence-metropolitaine-de-transport/129/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-quebec-agence-metropolitaine-de-transport-gtfs-1179.zip?alt=media,,45.4582983759636,45.4982652034138,-73.5661781803096,-73.4418601064298,2022-03-23T18:45:10+00:00
1180,gtfs,CA,Québec,,MRC les Moulins,,https://transitfeeds.com/p/agence-metropolitaine-de-transport/142/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-quebec-mrc-les-moulins-gtfs-1180.zip?alt=media,,45.5542,45.80231,-73.842682,-73.498242,2022-03-23T18:45:24+00:00
1181,gtfs,CA,Québec,,Agence métropolitaine de transport CRT Lanaudière,,https://transitfeeds.com/p/agence-metropolitaine-de-transport/134/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-quebec-agence-metropolitaine-de-transport-crt-lanaudiere-gtfs-1181.zip?alt=media,,45.5896918011493,46.6840634802217,-74.2264320002107,-73.170542359712,2022-03-23T18:45:28+00:00
1182,gtfs,CA,Québec,Montreal,MRC de Deux-Montagnes,,https://transitfeeds.com/p/agence-metropolitaine-de-transport/141/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-quebec-mrc-de-deux-montagnes-gtfs-1182.zip?alt=media,,45.4605386048701,45.5615424554029,-74.2064314458575,-73.8928390350279,2022-03-23T18:45:31+00:00
1183,gtfs,DE,,,Filsland Verkehrsverbund,,https://transitfeeds.com/p/filsland-verkehrsverbund/1185/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-unknown-filsland-verkehrsverbund-gtfs-1183.zip?alt=media,,48.398673,48.806872,9.41129,10.02201,2022-03-23T18:45:50+00:00
1184,gtfs,HR,Grad Zagreb,,Zagrebački Električni Tramvaj (ZET),,https://transitfeeds.com/p/zet-zagreba-ki-elektri-ni-tramvaj/1007/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/hr-grad-zagreb-zagrebacki-elektricni-tramvaj-zet-gtfs-1184.zip?alt=media,https://www.zet.hr/odredbe/datoteke-u-gtfs-formatu/669,45.567096,45.96829,15.733412,16.229453,2022-03-23T18:46:47+00:00
1185,gtfs,IT,Lombardia,Milan,Airpullmann,,https://transitfeeds.com/p/air-pullman-s-p-a/1233/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-lombardia-airpullmann-gtfs-1185.zip?alt=media,,45.4938828184547,45.741949,8.89007716567612,9.21534086871719,2022-03-23T18:47:58+00:00
1186,gtfs,RU,Sankt-Peterburg,,Петербургский метрополитен - Petersburg Metro,,https://transitfeeds.com/p/saint-petersburg/826/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ru-sankt-peterburg-peterburgskii-metropoliten-petersburg-metro-gtfs-1186.zip?alt=media,,59.550571,60.363597,28.971031,31.278776,2022-03-23T18:50:21+00:00
1187,gtfs,US,Illinois,Chicago,Metra,,https://transitfeeds.com/p/metra/169/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-illinois-metra-gtfs-1187.zip?alt=media,https://metrarail.com/developers,41.4183333,42.5858333,-88.6175,-87.5477778,2022-03-23T18:50:28+00:00
1188,gtfs,US,Nebraska,Lincoln,StarTran,,https://transitfeeds.com/p/startran/781/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-nebraska-startran-gtfs-1188.zip?alt=media,,40.7191025396787,40.8814743304285,-96.7955738344476,-96.5915007479686,2022-03-23T18:50:33+00:00
1189,gtfs,US,Virginia,Blacksburg,Blacksburg Transit,,https://transitfeeds.com/p/blacksburg-transit/359/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-virginia-blacksburg-transit-gtfs-1189.zip?alt=media,,37.1264581159626,37.2561040375295,-80.4504797131109,-80.3700000268221,2022-03-23T18:51:05+00:00
