mdb_source_id,data_type,location.country_code,location.subdivision_name,location.municipality,provider,name,urls.direct_download,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,Transitland ID,Transit Feeds ID
600,gtfs,FR,Auvergne-Rhône-Alpes,Aix les Bains,Ondéa - COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB,,https://ratpdev-mosaic-prod-bucket-raw.s3-eu-west-1.amazonaws.com/33/exports/1/gtfs.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-ondea-compagnie-de-transport-du-lac-du-bourget-ctlb-gtfs-600.zip?alt=media,https://transport.data.gouv.fr/datasets/ctlb-donnees-theoriques-et-rt-aix-les-bains-lac-du-bourget/,45.592876,45.786327,5.82058,6.012444,2022-04-26T02:03:43+00:00,,
601,gtfs,US,Massachusetts,Boston,Logan Express,,http://data.trilliumtransit.com/gtfs/loganexpress-ma-us/loganexpress-ma-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-massachusetts-logan-express-gtfs-601.zip?alt=media,,42.21736,42.51759,-71.39341,-71.017076,2022-03-16T20:10:33+00:00,,"logan-express/1138, massport/1137"
604,gtfs,US,Washington,Longview,Wahkiakum Ferry,,http://oregon-gtfs.com/gtfs_data/wahkiakumferry-or-us/wahkiakumferry-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-wahkiakum-ferry-gtfs-604.zip?alt=media,,46.1371023921546,46.1532992569825,-123.378724476539,-123.377110622681,2022-03-16T20:10:38+00:00,,
605,gtfs,US,Oregon,Portland,Canby Ferry,,http://oregon-gtfs.com/gtfs_data/canbyferry-or-us/canbyferry-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-canby-ferry-gtfs-605.zip?alt=media,,45.2989871385735,45.3010657654158,-122.692828552403,-122.692637681176,2022-03-16T20:10:39+00:00,,
626,gtfs,US,Florida,,Florida Department of Transportation (SunRail),,https://transitfeeds.com/p/florida-department-of-transportation/684/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-florida-sunrail-gtfs-626.zip?alt=media,,28.258907,28.855694,-81.484367,-81.298115,2022-03-16T20:11:19+00:00,,florida-department-of-transportation/684
627,gtfs,FR,Auvergne-Rhône-Alpes,Saint-Étienne,Saint-Etienne Métropole,Réseau de transport stéphanois (STAS),https://www.data.gouv.fr/fr/datasets/r/8b3e71e2-1155-4fb0-bf4a-cdddbb496e29,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-saint-etienne-metropole-gtfs-627.zip?alt=media,https://transport.data.gouv.fr/datasets/donnees-horaires-theoriques-gtfs-du-reseau-de-transport-de-la-metropole-de-saint-etienne-stas/,45.3676394217,45.6362101783,4.0634625087,4.6427560851,2022-04-26T02:13:30+00:00,,
628,gtfs,US,California,,Union City Transit,,https://data.trilliumtransit.com/gtfs/unioncity-ca-us/unioncity-ca-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-union-city-transit-gtfs-628.zip?alt=media,,37.567764,37.612185,-122.082768,-122.002866,2022-03-16T20:11:22+00:00,,union-city-transit/1335
631,gtfs,US,Vermont,Hartford,Advance Transit,,http://data.trilliumtransit.com/gtfs/advancetransit-vt-us/advancetransit-vt-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-vermont-advance-transit-gtfs-631.zip?alt=media,,43.625202179,43.729133606,-72.3435561363965,-72.0132064819,2022-03-16T20:11:31+00:00,,advance-transit/557
632,gtfs,US,Oregon,Ontario,Eastern Point,,http://oregon-gtfs.com/gtfs_data/easternpoint-or-us/easternpoint-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-eastern-point-gtfs-632.zip?alt=media,,43.54207602,44.058021435071,-121.301143956693,-116.951137,2022-03-16T20:11:32+00:00,,tac-transportation/463
633,gtfs,US,Oregon,Newport,Valley Retriever Busline,,http://oregon-gtfs.com/gtfs_data/valleyretriever-or-us/valleyretriever-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-valley-retriever-busline-gtfs-633.zip?alt=media,,44.0579701022706,45.5280202718972,-124.0604784,-121.300789117813,2022-03-16T20:11:33+00:00,,valley-retriever-buslines/487
