mdb_source_id,Transitland ID,Transit Feeds ID
273,f-c25p-benfranklintransit,ben-franklin-transit/915
274,f-c25v-milton~freewater~or~us,city-of-milton-freewater/442
275,f-c26-linktransit~wa~us,link-transit/392
276,f-c26-yakimatransit,yakima-transit/153
277,f-c262f-uniongaptransit,union-gap-transit/881
278,f-c263-selah~wa~us,selah-transit/1029
279,f-c28-clallamtransitsystem,
280,f-c28-islandtransit,
281,f-c28-pugetsoundexpress,
282,f-c28-thevictoriaclipper,the-victoria-clipper/800
283,f-c28-washingtonstateferries,washington-state-ferries/586
284,f-c28-whatcomtransportationauthority,
285,f-c283-jamestownsklallam,
286,f-c284-blackballferryline,
287,f-c29-communitytransit,community-transit/454
288,f-c290-everetttransit,everett-transit/455
289,,"wallowa-community-connection/488, northeast-oregon-public-transit/436"
290,f-c2kx-spokanetransitauthority,spokane-transit-authority/199
291,f-c2pvx-butte~mt~us,butte-silver-bow-transit/394
292,f-c2qf-mountainline,mountain-line-missoula/765
293,f-c2qft-udash~mt~us,udash/764
294,f-c427-cityandboroughofjuneau~ak~us,capital-transit/698
295,f-c815-streamlinetransit~mt~us,streamline/671
296,f-calabasas~ca~us,calabasas-transit-system/1336
297,f-camarillo~ca~us,camarillo-area-transit/1300
298,f-carson~ca~us,carson-circuit/1337
299,f-catalina~express,
300,f-catalinaflyer~ca~us,
301,f-cbq6-duluthtransitauthority,duluth-transit/174
302,f-ceats~ny,
303,f-central~transit~wa,
304,f-chautauqua~area~regional~transit~system,
305,f-chemung~c~tran,
306,f-chicagowatertaxi~il~us,
307,,cincinnati-metro/218
308,f-cityofdekalb~il~us,
309,f-cityoffountaintransit~co~us,city-of-fountain-transit/1350
310,f-cityofhelena~mt~us,
311,f-cityofridgecrest~ca~us,ridgerunner/1317
312,f-clackamascounty~or~us,
313,f-clearcreek~co~us,clear-creek-county-transit/1334
314,f-compton~ca~us,compton-renaissance-transit/1311
315,f-corpus~christi~regional~transportation~authority,corpus-christi-rta/61
316,f-corridorrides,
317,f-cripplecreek~co~us,cripple-creek-transportation/1276
318,f-cudahy~ca~us,cudahy-area-rapid-transit/1339
319,f-d-groometransportation~us,groome-transportation/1248
320,f-delano~ca~us,
321,f-dh-lakeland,
322,f-dhm-keywest~fl~us,key-west-transit/1012
323,f-dht-collierareatransit~cat,
324,f-dht-leecountytransit,
325,f-dhv-hillsborougharearegionaltransit,hillsborough-area-regional-transit/228
326,f-dhv-psta,psta/225
327,,sarasota-county-area-transit/376
328,f-dhvk-manatee~fl~us,"manatee-county-area-transit-manatee-county/396, manatee-county-area-transit/375"
329,f-dhvrs-bullrunner,
330,f-dhw-browardcountytransit,broward-county-transit/49
331,f-dhw-miamidadetransit,miami-dade-county-transit/48
332,f-dhx-palmtran,palm-tran/616
333,f-dhx-tri~rail,south-florida-regional-transportation-authority/699
334,f-districtthree~va~us,
335,f-dj3-ecat~fl~us,escambia-county-area-transit/554
336,f-dj6m-okaloosacountytransit~fl~us,emerald-coast-rider/553
337,f-dj75-baytowntrolley~fl~us,bay-town-trolley/548
338,f-djf8-montgomerytransit~al~us,montgomery-transit/674
339,f-djfq-birminghamjeffersoncountytransitauthority,birmingham-jefferson-county-transit-authority/683
340,f-djj2-pascocountypublictransit~fl~us,pasco-county-public-transportation/960
341,f-djj6-thehernandoexpress~fl~us,hernando-county-transit/551
342,f-djjg-lakecounty,
343,f-djjt-suntran~fl~us,suntran/552
344,f-djkj-starmetro,starmetro/885
